int 	 binary 
0	0000000000000000
1	1000000000000000
2	0100000000000000
3	1100000000000000
4	0010000000000000
5	1010000000000000
6	0110000000000000
7	1110000000000000
8	0001000000000000
9	1001000000000000
10	0101000000000000
11	1101000000000000
12	0011000000000000
13	1011000000000000
14	0111000000000000
15	1111000000000000
16	0000100000000000
17	1000100000000000
18	0100100000000000
19	1100100000000000
20	0010100000000000
21	1010100000000000
22	0110100000000000
23	1110100000000000
24	0001100000000000
25	1001100000000000
26	0101100000000000
27	1101100000000000
28	0011100000000000
29	1011100000000000
30	0111100000000000
31	1111100000000000
32	0000010000000000
33	1000010000000000
34	0100010000000000
35	1100010000000000
36	0010010000000000
37	1010010000000000
38	0110010000000000
39	1110010000000000
40	0001010000000000
41	1001010000000000
42	0101010000000000
43	1101010000000000
44	0011010000000000
45	1011010000000000
46	0111010000000000
47	1111010000000000
48	0000110000000000
49	1000110000000000
50	0100110000000000
51	1100110000000000
52	0010110000000000
53	1010110000000000
54	0110110000000000
55	1110110000000000
56	0001110000000000
57	1001110000000000
58	0101110000000000
59	1101110000000000
60	0011110000000000
61	1011110000000000
62	0111110000000000
63	1111110000000000
64	0000001000000000
65	1000001000000000
66	0100001000000000
67	1100001000000000
68	0010001000000000
69	1010001000000000
70	0110001000000000
71	1110001000000000
72	0001001000000000
73	1001001000000000
74	0101001000000000
75	1101001000000000
76	0011001000000000
77	1011001000000000
78	0111001000000000
79	1111001000000000
80	0000101000000000
81	1000101000000000
82	0100101000000000
83	1100101000000000
84	0010101000000000
85	1010101000000000
86	0110101000000000
87	1110101000000000
88	0001101000000000
89	1001101000000000
90	0101101000000000
91	1101101000000000
92	0011101000000000
93	1011101000000000
94	0111101000000000
95	1111101000000000
96	0000011000000000
97	1000011000000000
98	0100011000000000
99	1100011000000000
100	0010011000000000
101	1010011000000000
102	0110011000000000
103	1110011000000000
104	0001011000000000
105	1001011000000000
106	0101011000000000
107	1101011000000000
108	0011011000000000
109	1011011000000000
110	0111011000000000
111	1111011000000000
112	0000111000000000
113	1000111000000000
114	0100111000000000
115	1100111000000000
116	0010111000000000
117	1010111000000000
118	0110111000000000
119	1110111000000000
120	0001111000000000
121	1001111000000000
122	0101111000000000
123	1101111000000000
124	0011111000000000
125	1011111000000000
126	0111111000000000
127	1111111000000000
128	0000000100000000
129	1000000100000000
130	0100000100000000
131	1100000100000000
132	0010000100000000
133	1010000100000000
134	0110000100000000
135	1110000100000000
136	0001000100000000
137	1001000100000000
138	0101000100000000
139	1101000100000000
140	0011000100000000
141	1011000100000000
142	0111000100000000
143	1111000100000000
144	0000100100000000
145	1000100100000000
146	0100100100000000
147	1100100100000000
148	0010100100000000
149	1010100100000000
150	0110100100000000
151	1110100100000000
152	0001100100000000
153	1001100100000000
154	0101100100000000
155	1101100100000000
156	0011100100000000
157	1011100100000000
158	0111100100000000
159	1111100100000000
160	0000010100000000
161	1000010100000000
162	0100010100000000
163	1100010100000000
164	0010010100000000
165	1010010100000000
166	0110010100000000
167	1110010100000000
168	0001010100000000
169	1001010100000000
170	0101010100000000
171	1101010100000000
172	0011010100000000
173	1011010100000000
174	0111010100000000
175	1111010100000000
176	0000110100000000
177	1000110100000000
178	0100110100000000
179	1100110100000000
180	0010110100000000
181	1010110100000000
182	0110110100000000
183	1110110100000000
184	0001110100000000
185	1001110100000000
186	0101110100000000
187	1101110100000000
188	0011110100000000
189	1011110100000000
190	0111110100000000
191	1111110100000000
192	0000001100000000
193	1000001100000000
194	0100001100000000
195	1100001100000000
196	0010001100000000
197	1010001100000000
198	0110001100000000
199	1110001100000000
200	0001001100000000
201	1001001100000000
202	0101001100000000
203	1101001100000000
204	0011001100000000
205	1011001100000000
206	0111001100000000
207	1111001100000000
208	0000101100000000
209	1000101100000000
210	0100101100000000
211	1100101100000000
212	0010101100000000
213	1010101100000000
214	0110101100000000
215	1110101100000000
216	0001101100000000
217	1001101100000000
218	0101101100000000
219	1101101100000000
220	0011101100000000
221	1011101100000000
222	0111101100000000
223	1111101100000000
224	0000011100000000
225	1000011100000000
226	0100011100000000
227	1100011100000000
228	0010011100000000
229	1010011100000000
230	0110011100000000
231	1110011100000000
232	0001011100000000
233	1001011100000000
234	0101011100000000
235	1101011100000000
236	0011011100000000
237	1011011100000000
238	0111011100000000
239	1111011100000000
240	0000111100000000
241	1000111100000000
242	0100111100000000
243	1100111100000000
244	0010111100000000
245	1010111100000000
246	0110111100000000
247	1110111100000000
248	0001111100000000
249	1001111100000000
250	0101111100000000
251	1101111100000000
252	0011111100000000
253	1011111100000000
254	0111111100000000
255	1111111100000000
256	0000000010000000
257	1000000010000000
258	0100000010000000
259	1100000010000000
260	0010000010000000
261	1010000010000000
262	0110000010000000
263	1110000010000000
264	0001000010000000
265	1001000010000000
